title,heading,content,tokens
Cannabis (drug),Summary,"Cannabis, also known as marijuana among other names, is a psychoactive drug from the cannabis plant. Native to Central or South Asia, the cannabis plant has been used as a drug for both recreational and entheogenic purposes and in various traditional medicines for centuries. Tetrahydrocannabinol (THC) is the main psychoactive component of cannabis, which is one of the 483 known compounds in the plant, including at least 65 other cannabinoids, such as cannabidiol (CBD). Cannabis can be used by smoking, vaporizing, within food, or as an extract.
Cannabis has various mental and physical effects, which include euphoria, altered states of mind and sense of time, difficulty concentrating, impaired short-term memory, impaired body movement (balance and fine psychomotor control), relaxation, and an increase in appetite. Onset of effects is felt within minutes when smoked, but may take up to 90 minutes when eaten. The effects last for two to six hours, depending on the amount used. At high doses, mental effects can include anxiety, delusions (including ideas of reference), hallucinations, panic, paranoia, and psychosis. There is a strong relation between cannabis use and the risk of psychosis, though the direction of causality is debated. Physical effects include increased heart rate, difficulty breathing, nausea, and behavioral problems in children whose mothers used cannabis during pregnancy; short-term side effects may also include dry mouth and red eyes. Long-term adverse effects may include addiction, decreased mental ability in those who started regular use as adolescents, chronic coughing, susceptibility to respiratory infections, and cannabinoid hyperemesis syndrome.
Cannabis is mostly used recreationally or as a medicinal drug, although it may also be used for spiritual purposes. In 2013, between 128 and 232 million people used cannabis (2.7% to 4.9% of the global population between the ages of 15 and 65). It is the most commonly used largely-illegal drug in the world, with the highest use among adults in Zambia, the United States, Canada, and Nigeria, as of 2018.
While cannabis plants have been grown since at least the 3rd millennium BCE, evidence suggests that it was being smoked for psychoactive effects at least 2,500 years ago in the Pamir Mountains, Asia. Since the 14th century, cannabis has been subject to legal restrictions. The possession, use, and cultivation of cannabis has been illegal in most countries since the 20th century. In 2013, Uruguay became the first country to legalize recreational use of cannabis. Other countries to do so are Canada, Georgia, Malta, Mexico, South Africa, and Thailand. In the U.S., the recreational use of cannabis is legalized in 21 states, 3 territories, and the District of Columbia, though the drug remains federally illegal. In Australia, it is legalized only in the Australian Capital Territory.",591
Cannabis (drug),Medical,"Medical cannabis, or medical marijuana, refers to the use of cannabis to treat disease or improve symptoms; however, there is no single agreed-upon definition (e.g., cannabinoids derived from cannabis and synthetic cannabinoids are also used). The rigorous scientific study of cannabis as a medicine has been hampered by production restrictions and by the fact that it is classified as an illegal drug by many governments. There is limited evidence suggesting cannabis can be used to reduce nausea and vomiting during chemotherapy, to improve appetite in people with HIV/AIDS, or to treat chronic pain and muscle spasms. Its use for other medical applications is insufficient for drawing conclusions about safety or efficacy. There is evidence supporting the use of cannabis or its derivatives in the treatment of chemotherapy-induced nausea and vomiting, neuropathic pain, and multiple sclerosis. Lower levels of evidence support its use for AIDS wasting syndrome, epilepsy, rheumatoid arthritis, and glaucoma.So far, the medical use of cannabis is legal only in a limited number of territories, including Canada, Belgium, Australia, the Netherlands, New Zealand, Spain, and many U.S. states. This usage generally requires a prescription, and distribution is usually done within a framework defined by local laws.",250
Cannabis (drug),Recreational,"According to DEA Chief Administrative Law Judge, Francis Young, ""cannabis is one of the safest therapeutically active substances known to man."" Being under the effects of cannabis is usually referred to as being ""high"" or ""stoned."" Cannabis consumption has both psychoactive and physiological effects. The ""stoned"" experience can vary widely, based (among other things) on the user's prior experience with cannabis, and the type of cannabis consumed.: p647  When smoking cannabis, a euphoriant effect can occur within minutes of smoking.: p104  Aside from a subjective change in perception and mood, the most common short-term physical and neurological effects include increased heart rate, increased appetite, impairment of short-term and working memory, and psychomotor coordination.Additional desired effects from consuming cannabis include relaxation, a general alteration of conscious perception, increased awareness of sensation, increased libido and distortions in the perception of time and space. At higher doses, effects can include altered body image, auditory and/or visual illusions, pseudohallucinations and ataxia from selective impairment of polysynaptic reflexes. In some cases, cannabis can lead to dissociative states such as depersonalization and derealization.",259
Cannabis (drug),Spiritual,"Cannabis has held sacred status in several religions and has served as an entheogen – a chemical substance used in religious, shamanic, or spiritual contexts – in the Indian subcontinent since the Vedic period. The earliest known reports regarding the sacred status of cannabis in the Indian subcontinent come from the Atharva Veda, estimated to have been composed sometime around 1400 BCE.
The Hindu god Shiva is described as a cannabis user, known as the ""Lord of bhang.: p19 In modern culture, the spiritual use of cannabis has been spread by the disciples of the Rastafari movement who use cannabis as a sacrament and as an aid to meditation.",145
Cannabis (drug),Modes of consumption,"Many different ways to consume cannabis involve heat to decarboxylate THCA into THC; common modes include:

Smoking, involves burning and inhaling cannabinoids (""smoke"") from small pipes, bongs (portable versions of hookahs with a water chamber), paper-wrapped joints, tobacco-leaf-wrapped blunts, or the like.
Vaporizing, heating various forms of cannabis to 165–190 °C (329–374 °F), causing the active ingredients to form vapor without combustion of the plant material (the boiling point of THC is 157 °C (315 °F) at atmospheric pressure).
Edibles, adding cannabis as an ingredient to a wide variety of foods, including butter and baked goods. In India it is commonly consumed as the beverage bhang.
Cannabis tea, prepared with attention to lipophilic quality of THC, which is only slightly water-soluble (2.8 mg per liter), often involving cannabis in a saturated fat.
Tincture of cannabis, sometimes known as green dragon, is an alcoholic cannabis concentrate.
Capsules, typically containing cannabis oil, and other dietary supplement products, for which some 220 were approved in Canada in 2018.Onset of effects is felt within minutes when smoked, and may take up to 90 minutes when eaten. Depending on the amount used, the effects last for two to six hours.",291
Cannabis (drug),Consumption by country,"In 2013, between 128 and 232 million people used cannabis (2.7% to 4.9% of the global population between the ages of 15 and 65). Cannabis is by far the most widely used illicit substance, with the highest use among adults (as of 2018) in Zambia, the United States, Canada, and Nigeria.",72
Cannabis (drug),United States,"Between 1973 and 1978, eleven states decriminalized marijuana. In 2001, Nevada reduced marijuana possession to a misdemeanor and since 2012, several other states have decriminalized and even legalized marijuana.In 2018, almost half of the people in the United States had tried marijuana, 16% had used it in the past year, and 11% had used it in the past month. In 2014, daily marijuana use amongst US college students had reached its highest level since records began in 1980, rising from 3.5% in 2007 to 5.9% in 2014 and had surpassed daily cigarette use.In the US, men are over twice as likely to use marijuana as women, and 18–29-year-olds are six times more likely to use as over-65-year-olds. In 2015, a record 44% of the US population has tried marijuana in their lifetime, an increase from 38% in 2013 and 33% in 1985.Marijuana use in the United States is three times above the global average, but in line with other Western democracies. Forty-four percent of American 12th graders have tried the drug at least once, and the typical age of first-use is 16, similar to the typical age of first-use for alcohol but lower than the first-use age for other illicit drugs.A 2022 Gallup poll concluded Americans are smoking more marijuana than cigarettes for the first time.",283
Cannabis (drug),Short-term,"Acute negative effects may include anxiety and panic, impaired attention and memory, an increased risk of psychotic symptoms, the inability to think clearly, and an increased risk of accidents. Cannabis impairs a person's driving ability, and THC was the illicit drug most frequently found in the blood of drivers who have been involved in vehicle crashes. Those with THC in their system are from three to seven times more likely to be the cause of the accident than those who had not used either cannabis or alcohol, although its role is not necessarily causal because THC stays in the bloodstream for days to weeks after intoxication.Some immediate undesired side effects include a decrease in short-term memory, dry mouth, impaired motor skills, reddening of the eyes, dizziness, feeling tired and vomiting. Some users may experience an episode of acute psychosis, which usually abates after six hours, but in rare instances, heavy users may find the symptoms continuing for many days.Legalization has increased the rates at which children are exposed to cannabis, particularly from edibles. While the toxicity and lethality of THC in children is not known, they are at risk for encephalopathy, hypotension, respiratory depression severe enough to require ventilation, somnolence and coma.",251
Cannabis (drug),Fatality,"Cannabis is suspected of being a potential, and under-reported, contributory factor or direct cause in cases of sudden death, due to the strain it can place on the cardiovascular system. Multiple deaths have been attributed to cannabinoid hyperemesis syndrome.A 16-month survey of Oregon and Alaska emergency departments found a report of the death of an adult who had been admitted for acute cannabis toxicity.",83
Cannabis (drug),Psychological effects,"A 2015 meta-analysis found that, although a longer period of abstinence was associated with smaller magnitudes of impairment, both retrospective and prospective memory were impaired in cannabis users. The authors concluded that some, but not all, of the deficits associated with cannabis use were reversible. A 2012 meta-analysis found that deficits in most domains of cognition persisted beyond the acute period of intoxication, but was not evident in studies where subjects were abstinent for more than 25 days. Few high quality studies have been performed on the long-term effects of cannabis on cognition, and the results were generally inconsistent. Furthermore, effect sizes of significant findings were generally small. One review concluded that, although most cognitive faculties were unimpaired by cannabis use, residual deficits occurred in executive functions. Impairments in executive functioning are most consistently found in older populations, which may reflect heavier cannabis exposure, or developmental effects associated with adolescent cannabis use. One review found three prospective cohort studies that examined the relationship between self-reported cannabis use and intelligence quotient (IQ). The study following the largest number of heavy cannabis users reported that IQ declined between ages 7–13 and age 38. Poorer school performance and increased incidence of leaving school early were both associated with cannabis use, although a causal relationship was not established. Cannabis users demonstrated increased activity in task-related brain regions, consistent with reduced processing efficiency.A reduced quality of life is associated with heavy cannabis use, although the relationship is inconsistent and weaker than for tobacco and other substances. The direction of cause and effect, however, is unclear.The long-term effects of cannabis are not clear. There are concerns surrounding memory and cognition problems, risk of addiction, and the risk of schizophrenia in young people.",347
